"107年11月30日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"2889","國票金","2,146,974","472","21,494,777","9.94","10.05","9.94","10.05","+","0.08","10.00","1","10.05","360","12.72",
"2890","永豐金","21,114,214","2,760","224,104,423","10.55","10.65","10.50","10.65","+","0.15","10.60","1,048","10.65","2,241","11.83",
"2891","中信金","45,875,212","6,860","938,839,390","20.55","20.60","20.40","20.45","+","0.05","20.45","525","20.50","151","10.82",
"2891B","中信金乙特","16,168","23","1,013,363","62.60","62.80","62.60","62.80"," ","0.00","62.60","48","62.80","11","0.00",
"2892","第一金","85,844,900","7,811","1,722,974,307","20.25","20.50","19.95","19.95","-","0.25","19.90","3,472","19.95","3,456","16.49",
"2897","王道銀行","337,000","116","2,725,770","8.15","8.15","8.07","8.07","-","0.04","8.07","10","8.08","2","26.03",
"2901","欣欣","13,001","6","318,274","24.55","24.55","24.35","24.35","-","0.15","24.35","1","24.50","4","59.39",
"2903","遠百","1,862,798","658","29,506,668","15.65","16.00","15.60","16.00","+","0.25","15.90","1","16.00","59","14.16",
"2904","匯僑","22,001","17","438,469","19.80","20.00","19.80","19.90","+","0.05","19.80","15","19.95","19","11.92",
"2905","三商","234,181","163","4,525,687","19.30","19.45","19.30","19.30","-","0.05","19.30","15","19.35","6","0.00",
"2906","高林","204,000","69","1,961,920","9.69","9.69","9.59","9.65","-","0.05","9.65","1","9.68","1","60.31",
"2908","特力","662,021","174","14,730,765","22.35","22.45","22.15","22.15","-","0.25","22.15","24","22.30","3","13.59",
"2910","統領","5,000","3","136,500","27.30","27.30","27.30","27.30"," ","0.00","27.05","1","27.70","1","113.75",
"2911","麗嬰房","164,002","100","1,608,698","9.84","9.87","9.74","9.74","+","0.02","9.73","13","9.79","2","3.52",
"2912","統一超","2,630,055","1,648","841,692,545","325.50","326.50","316.00","318.00","-","5.50","318.00","11","318.50","44","10.89",
"2913","農林","1,895,709","388","32,661,050","17.30","17.30","17.10","17.25","-","0.05","17.20","59","17.25","8","0.00",
"2915","潤泰全","4,795,649","1,842","425,572,491","85.30","91.00","84.30","91.00","+","6.00","90.10","1","91.00","771","2.52",
"2923","鼎固-KY","2,000","2","36,400","18.20","18.20","18.20","18.20","-","0.35","18.15","1","18.20","49","50.56",
"2929","淘帝-KY","198,450","172","17,383,487","87.60","87.90","87.40","87.50"," ","0.00","87.50","9","87.60","2","8.42",
"2936","客思達-KY","8,000","8","219,100","27.50","27.55","27.10","27.10","-","0.35","27.05","1","27.45","2","0.00",
"2939","凱羿-KY","167,310","104","19,778,700","114.50","121.50","113.50","119.00","+","6.00","118.50","1","120.00","21","10.80",
"3002","歐格","22,000","13","219,140","9.94","9.99","9.93","9.93","+","0.04","9.92","4","9.97","2","0.00",
"3003","健和興","3,090,355","1,123","137,861,825","44.40","45.00","43.85","44.95","+","0.55","44.85","127","44.95","1","15.19",
"3004","豐達科","126,262","109","7,352,511","59.20","59.30","57.80","57.90","-","0.90","57.90","8","58.40","12","11.60",
"3005","神基","1,079,181","508","40,518,031","37.50","37.60","37.45","37.60","+","0.20","37.55","30","37.60","36","10.27",
"3006","晶豪科","750,173","431","24,202,805","32.30","32.40","32.05","32.40","+","0.45","32.30","2","32.40","21","9.73",
"3008","大立光","743,065","929","2,540,789,050","3,505.00","3,505.00","3,365.00","3,370.00","-","145.00","3,370.00","7","3,380.00","4","17.06",
"3010","華立","217,000","132","10,996,600","51.00","51.10","50.40","50.40","-","0.60","50.40","14","50.80","1","8.22",
"3011","今皓","256,000","98","1,992,110","7.81","7.85","7.75","7.78"," ","0.00","7.78","4","7.81","2","0.00",
"3013","晟銘電","177,000","95","2,650,200","15.05","15.05","14.90","14.90","-","0.05","14.90","3","14.95","12","24.03",
"3014","聯陽","979,851","624","32,620,883","33.50","33.70","32.90","33.05","+","0.75","33.05","11","33.10","4","10.91",
"3015","全漢","351,175","154","6,662,392","19.40","19.40","18.65","18.90","-","0.25","18.90","1","18.95","1","21.72",
"3016","嘉晶","15,967,721","9,261","769,226,433","48.40","49.00","47.25","48.75","-","0.25","48.75","8","48.80","39","33.16",
"3017","奇鋐","7,465,286","2,278","172,727,415","22.75","23.35","22.70","23.25","+","0.60","23.20","3","23.25","37","11.45",
"3018","同開","334,044","189","9,599,680","28.20","29.35","27.80","29.30","+","1.05","29.20","36","29.30","13","0.00",
"3019","亞光","4,260,251","2,776","284,477,891","66.80","67.60","66.30","66.70","+","0.20","66.60","12","66.70","19","21.24",
"3021","鴻名","45,000","33","626,050","13.95","14.00","13.85","13.85","-","0.15","13.85","11","13.95","5","10.26",
"3022","威強電","463,808","109","14,934,094","33.65","33.65","31.95","31.95","-","1.70","31.60","1","31.95","333","12.10",
"3023","信邦","413,525","322","33,237,364","80.20","80.60","80.00","80.20","+","0.10","80.20","13","80.40","86","12.57",
"3024","憶聲","134,238","56","834,933","6.21","6.27","6.20","6.21","+","0.01","6.21","18","6.26","6","18.82",
"3025","星通","88,002","61","1,841,642","20.80","21.25","20.70","20.80"," ","0.00","20.80","2","20.90","3","231.11",
"3026","禾伸堂","4,940,190","3,437","590,782,893","118.00","121.00","118.00","120.00","+","2.50","119.50","33","120.00","11","6.30",
"3027","盛達","67,059","25","583,939","8.56","8.80","8.56","8.67","+","0.04","8.67","5","8.77","3","0.00",
"3028","增你強","187,021","107","3,885,186","20.80","20.80","20.75","20.75","+","0.05","20.75","3","20.80","67","9.65",
"3029","零壹","209,285","130","4,185,319","19.90","20.10","19.90","19.95","+","0.05","19.95","4","20.00","6","10.50",
"3030","德律","506,508","353","23,990,731","47.90","47.90","47.10","47.35","+","0.10","47.35","7","47.40","5","11.46",
"3031","佰鴻","256,000","128","2,889,750","11.15","11.40","11.15","11.15"," ","0.00","11.15","12","11.20","3","14.87",
"3032","偉訓","19,001","16","502,276","26.40","26.55","26.40","26.40","-","0.10","26.35","5","26.50","5","7.83",
"3033","威健","380,972","189","7,278,457","19.10","19.15","19.05","19.15","+","0.05","19.10","23","19.15","93","8.70",
"3034","聯詠","7,314,215","3,453","950,240,235","128.00","131.50","128.00","130.00","+","3.00","130.00","224","130.50","129","13.99",
"3035","智原","4,610,968","2,932","189,506,279","41.25","42.25","40.30","40.90","-","0.10","40.90","254","40.95","9","44.95",
"3036","文曄","951,154","481","38,229,377","40.30","40.40","40.05","40.05","-","0.15","40.05","113","40.15","8","7.66",
"3037","欣興","84,706,444","20,470","1,789,520,559","20.15","21.85","19.90","21.15","+","1.15","21.15","228","21.25","6","17.92",
"3038","全台","901,222","279","8,869,208","9.72","9.95","9.71","9.95","+","0.30","9.93","17","9.95","8","12.76",
"3040","遠見","88,000","49","2,881,850","32.70","32.80","32.70","32.70","+","0.15","32.70","8","32.80","8","30.00",
"3041","揚智","581,138","276","6,708,396","11.60","11.65","11.45","11.50","-","0.05","11.45","26","11.50","40","0.00",
"3042","晶技","555,565","375","19,028,989","33.90","34.75","33.80","34.75","+","0.80","34.50","7","34.80","12","15.65",
"3043","科風","41,260","17","94,932","2.33","2.35","2.24","2.34","+","0.05","2.28","10","2.34","16","26.00",
"3044","健鼎","2,440,759","1,319","201,411,242","82.60","83.30","81.60","83.30","+","0.80","82.60","18","83.30","65","9.54",
"3045","台灣大","8,014,634","1,967","874,521,606","109.50","109.50","109.00","109.00"," ","0.00","108.50","541","109.00","49","22.85",
"3046","建碁","15,500","12","299,224","19.60","19.70","19.30","19.70","-","0.20","19.20","2","19.75","1","0.00",
"3047","訊舟","476,235","140","4,511,229","9.45","9.58","9.40","9.45","+","0.05","9.44","3","9.45","26","0.00",
"3048","益登","400,888","196","5,074,878","12.65","12.75","12.55","12.65"," ","0.00","12.65","9","12.70","11","11.00",
"3049","和鑫","2,231,078","737","18,511,661","8.30","8.35","8.25","8.27","+","0.05","8.27","57","8.29","16","13.78",
"3050","鈺德","402,171","173","4,056,952","10.20","10.25","9.95","9.97","-","0.18","9.96","15","10.00","1","43.35",
"3051","力特","112,713","27","366,965","3.28","3.28","3.24","3.25","-","0.03","3.25","12","3.27","10","0.00",
"3052","夆典","302,029","64","2,628,718","8.65","8.76","8.64","8.64","+","0.02","8.64","20","8.69","5","19.64",
"3054","立萬利","10,000","9","232,150","23.30","23.35","23.10","23.20","-","0.20","23.15","3","23.30","2","154.67",
"3055","蔚華科","390,225","172","10,536,975","27.25","27.25","26.95","27.00","-","0.15","27.00","37","27.05","45","42.19",
"3056","總太","432,500","203","7,132,700","16.60","16.60","16.45","16.45","-","0.15","16.45","182","16.50","106","11.11",
"3057","喬鼎","145,004","80","1,191,032","8.12","8.25","8.12","8.25","+","0.13","8.22","2","8.25","1","0.00",
"3058","立德","39,000","22","292,870","7.51","7.55","7.49","7.55","+","0.05","7.55","13","7.57","1","0.00",
"3059","華晶科","4,780,137","2,344","127,668,464","26.35","27.35","26.20","27.20","+","0.95","27.15","12","27.20","174","63.26",
"3060","銘異","145,000","88","2,220,997","15.35","15.45","15.20","15.35"," ","0.00","15.30","1","15.35","5","0.00",
"3062","建漢","681,764","325","9,758,262","14.30","14.40","14.25","14.25","-","0.05","14.25","15","14.30","5","27.40",
"3090","日電貿","5,704,692","3,634","316,158,171","54.90","56.00","54.70","55.90","+","1.80","55.80","24","55.90","119","6.62",
"3094","聯傑","173,000","103","2,916,600","16.70","17.00","16.70","16.80","-","0.10","16.80","5","16.85","11","35.00",
"3130","一零四","7,106","9","1,111,748","157.00","157.00","156.00","156.00","-","2.00","153.50","2","159.00","8","17.61",
"3149","正達","268,999","118","2,681,377","10.00","10.00","9.94","9.96","-","0.04","9.95","12","9.96","16","0.00",
"3164","景岳","251,001","123","6,823,327","26.50","27.70","26.45","27.45","+","0.95","27.45","6","27.65","2","20.80",
"3167","大量","141,000","111","6,260,350","44.40","44.55","44.20","44.55","+","0.50","44.50","2","44.55","4","7.80",
"3189","景碩","6,388,990","3,748","287,536,499","44.75","45.40","44.25","45.00","+","1.50","45.00","26","45.05","4","56.25",
"3209","全科","85,581","52","1,504,999","17.50","17.65","17.50","17.60","+","0.10","17.60","7","17.65","12","10.35",
"3229","晟鈦","281,000","113","5,273,400","18.90","19.20","18.45","18.85","+","0.05","18.60","1","18.85","5","0.00",
"3231","緯創","8,740,360","2,134","171,148,712","19.65","19.70","19.55","19.55"," ","0.00","19.55","236","19.60","206","12.53",
"3257","虹冠電","213,375","160","10,387,225","46.90","49.90","46.90","49.00","+","2.10","49.00","1","49.20","4","32.03",
"3266","昇陽","36,000","22","399,250","11.10","11.20","11.05","11.05","-","0.05","11.05","2","11.15","8","15.35",
"3296","勝德","77,000","29","1,098,450","14.25","14.50","14.10","14.20","+","0.10","14.15","3","14.30","4","34.63",
"3305","昇貿","28,031","24","554,661","19.80","19.90","19.70","19.75","-","0.15","19.75","6","19.90","3","53.38",
"3308","聯德","19,000","13","121,660","6.40","6.42","6.32","6.32","+","0.07","6.32","2","6.42","2","0.00",
"3311","閎暉","314,235","174","4,010,105","12.75","12.85","12.65","12.70"," ","0.00","12.70","20","12.75","6","0.00",
"3312","弘憶股","396,330","187","4,187,222","10.55","10.65","10.45","10.55","+","0.05","10.50","35","10.55","19","7.93",
"3321","同泰","99,000","57","1,054,450","10.60","10.80","10.50","10.80","+","0.10","10.65","13","10.80","12","0.00",
"3338","泰碩","297,538","165","6,296,555","21.00","21.25","21.00","21.20","+","0.20","21.15","10","21.20","1","27.89",
"3346","麗清","1,136,072","797","44,855,758","38.25","40.50","38.25","38.80","+","1.30","38.75","1","39.00","1","10.96",
"3356","奇偶","1,042,889","691","33,458,934","31.65","32.50","31.65","32.15","+","0.65","32.05","10","32.15","3","459.29",
"3376","新日興","928,101","612","79,348,064","83.80","86.50","83.80","85.10","+","1.70","85.10","8","85.20","1","16.95",
"3380","明泰","10,133,887","1,778","163,285,613","16.15","16.70","15.95","15.95","-","0.35","15.95","43","16.20","12","0.00",
"3383","新世紀","19,034","15","37,622","1.98","1.98","1.98","1.98","+","0.04","1.98","3","1.99","3","0.00",
"3406","玉晶光","8,308,801","6,123","1,797,939,919","213.00","219.50","213.00","218.50","+","7.00","218.00","33","218.50","43","17.79",
"3413","京鼎","711,642","614","97,875,625","139.00","139.50","136.00","136.50","-","0.50","136.50","2","137.00","3","9.31",
"3416","融程電","10,150","8","514,910","50.50","50.90","50.50","50.90","+","0.20","50.50","7","50.90","1","20.52",
"3419","譁裕","9,281,373","3,517","169,437,041","18.65","18.75","18.00","18.00","-","0.75","18.00","406","18.05","77","0.00",
"3432","台端","207,394","110","3,094,331","14.85","15.10","14.80","14.85","+","0.10","14.85","5","14.90","7","3.89",
"3437","榮創","5,286,500","1,968","94,362,074","17.80","18.40","17.35","17.35","-","0.30","17.35","153","17.40","26","0.00",
"3443","創意","9,942,387","7,869","2,007,154,400","198.00","207.50","197.50","199.50","+","3.00","199.00","65","199.50","8","24.66",
"3450","聯鈞","4,038,743","1,234","255,428,848","63.80","65.40","62.70","62.70","-","1.10","62.60","95","62.70","1","12.90",
"3454","晶睿","1,216,268","967","129,970,140","106.50","109.50","105.50","106.00","-","1.00","106.00","3","106.50","23","23.14",
"3481","群創","49,894,799","4,737","515,772,372","10.40","10.50","10.25","10.25","-","0.10","10.25","1,084","10.30","90","14.04",
"3494","誠研","218,000","109","1,461,920","6.56","6.79","6.56","6.70","+","0.14","6.69","3","6.70","22","0.00",
"3501","維熹","160,450","118","8,394,253","52.60","52.70","51.90","52.20","-","0.20","52.00","2","52.30","6","9.21",
"3504","揚明光","5,429,320","3,931","424,445,020","76.10","79.50","76.10","78.50","+","2.40","78.40","5","78.50","10","51.99",
"3515","華擎","144,105","127","7,528,539","52.00","52.60","52.00","52.10","+","0.30","52.10","4","52.40","2","10.26",
"3518","柏騰","62,001","51","1,072,267","17.30","17.40","17.10","17.30","+","0.25","17.20","7","17.30","9","0.00",
"3519","綠能","472,994","154","2,981,690","6.25","6.39","6.25","6.28","+","0.03","6.28","14","6.29","2","0.00",
"3528","安馳","42,065","42","1,354,230","32.15","32.30","32.10","32.10","-","0.05","32.10","1","32.25","3","11.85",
"3530","晶相光","111,000","95","8,724,600","76.40","79.60","76.40","79.00","+","2.40","78.20","2","79.10","2","31.60",
"3532","台勝科","6,051,455","4,320","862,442,655","142.50","145.00","140.00","142.50","+","2.50","142.00","16","142.50","68","11.19",
"3533","嘉澤","1,836,984","1,437","357,088,332","190.50","197.00","189.00","196.50","+","4.50","196.00","2","196.50","27","14.00",
"3535","晶彩科","2,619,216","945","40,542,301","15.20","15.85","15.05","15.60","+","0.70","15.60","9","15.65","5","29.43",
"3536","誠創","560,216","198","5,331,748","9.65","9.65","9.20","9.41","+","0.63","9.40","33","9.41","24","0.00",
"3545","敦泰","4,953,708","1,647","126,399,097","25.30","25.75","25.10","25.65","+","0.75","25.65","174","25.70","121","0.00",
"3550","聯穎","131,000","83","2,121,000","16.10","16.30","16.05","16.25","+","0.10","16.25","4","16.30","12","10.28",
"3557","嘉威","17,454","14","299,708","17.15","17.30","17.10","17.30","+","0.10","17.20","2","17.30","4","0.00",
"3576","聯合再生","5,593,948","1,823","49,236,781","8.79","8.87","8.75","8.79"," ","0.00","8.78","30","8.79","44","0.00",
"3579","尚志","51,265","34","459,144","8.91","9.07","8.91","8.93","-","0.11","8.93","6","8.94","1","0.00",
"3583","辛耘","128,000","104","7,313,400","56.70","57.70","56.50","57.20","+","0.50","57.00","2","57.20","3","11.70",
"3588","通嘉","53,100","27","1,142,109","21.40","21.55","21.30","21.40"," ","0.00","21.40","6","21.45","4","27.44",
"3591","艾笛森","93,000","58","1,346,950","14.35","14.60","14.35","14.60","+","0.05","14.55","17","14.60","2","0.00",
"3593","力銘","71,025","35","761,867","10.55","10.90","10.40","10.90","+","0.05","10.60","5","10.95","5","0.00",
"3596","智易","9,455,790","6,060","644,643,320","68.50","70.10","66.80","68.00"," ","0.00","67.80","8","68.00","22","16.08",
"3605","宏致","135,002","82","2,911,592","21.55","21.70","21.50","21.55"," ","0.00","21.50","10","21.55","2","16.84",
"3607","谷崧","44,001","36","752,018","17.15","17.25","17.00","17.00","-","0.15","17.00","9","17.05","2","0.00",
"3617","碩天","39,716","30","3,232,867","81.40","81.60","81.30","81.40"," ","0.00","81.30","1","81.50","2","10.80",
"3622","洋華","214,448","98","3,627,131","16.65","17.10","16.65","16.85","+","0.20","16.80","9","16.85","7","17.93",
"3645","達邁","2,435,201","1,687","124,213,651","50.70","51.70","50.50","50.80","+","0.20","50.80","33","50.90","9","15.97",
"3653","健策","1,459,821","1,004","110,620,743","75.80","77.10","74.50","74.60","-","0.50","74.60","5","74.70","7","20.90",
"3661","世芯-KY","11,238,384","7,246","965,387,768","82.70","89.10","82.70","84.10","+","3.10","84.00","50","84.10","8","12.55",
"3665","貿聯-KY","2,435,509","1,920","474,671,255","191.00","197.00","191.00","196.00","+","5.00","195.50","7","196.00","60","17.77",
"3669","圓展","96,373","73","1,664,828","17.40","17.60","17.15","17.20","-","0.10","17.20","2","17.25","17","430.00",
"3673","TPK-KY","17,611,069","9,861","944,305,943","52.20","54.60","52.20","52.90","+","0.90","52.90","115","53.00","12","34.58",
"3679","新至陞","6,300","10","345,269","54.90","54.90","54.60","54.60","-","0.30","54.50","2","55.00","2","14.18",
"3682","亞太電","21,777,162","5,057","166,366,293","7.38","7.85","7.38","7.61","+","0.23","7.61","125","7.66","3","0.00",
"3686","達能","1,258,118","314","4,973,933","3.94","4.03","3.91","3.94","+","0.01","3.94","9","3.98","8","0.00",
"3694","海華","604,000","375","13,388,800","22.30","22.85","21.60","21.85","-","0.45","21.85","16","22.00","5","0.00",
"3698","隆達","3,425,887","1,659","65,101,098","18.65","19.35","18.60","18.60","+","0.25","18.60","8","18.65","4","60.00",
"3701","大眾控","5,729","14","70,767","12.30","12.50","12.30","12.40","+","0.05","12.35","7","12.70","1","21.02",
"3702","大聯大","7,974,729","2,269","299,068,992","37.70","37.80","37.35","37.50","-","0.15","37.40","4","37.50","78","8.39",
"3703","欣陸","1,365,850","299","19,372,435","14.15","14.25","14.15","14.15"," ","0.00","14.15","97","14.20","15","9.56",
"3704","合勤控","504,893","199","6,256,288","12.55","12.55","12.30","12.30","-","0.15","12.30","14","12.40","12","0.00",
"3705","永信","842,427","283","32,403,322","40.00","40.00","37.95","37.95","-","2.05","37.60","3","37.95","117","15.75",
"3706","神達","1,124,503","563","31,926,697","28.60","28.60","28.25","28.25","-","0.05","28.25","3","28.30","22","7.96",
"3708","上緯投控","3,791,924","2,559","250,929,353","63.50","68.50","63.50","66.30","-","2.10","66.30","96","66.40","24","7.95",
"3711","日月光投控","16,410,287","3,744","1,020,170,793","62.20","62.40","61.40","62.40","+","0.40","62.20","2","62.40","132","0.00",
"3712","永崴投控","3,442,259","2,019","72,769,081","19.60","21.75","19.60","21.75","+","1.95","21.70","35","21.75","287","0.00",
"4104","佳醫","89,181","77","4,077,976","45.35","45.90","45.35","45.80","+","0.30","45.75","2","45.80","7","13.92",
"4106","雃博","98,300","84","2,443,834","24.70","25.00","24.70","24.80","+","0.10","24.80","2","24.85","1","22.14",
"4108","懷特","423,612","277","7,997,945","18.75","18.95","18.75","18.95","+","0.50","18.90","5","18.95","16","0.00",
"4119","旭富","1,651,601","1,212","116,057,890","68.40","71.50","68.40","70.90","+","2.40","70.80","8","70.90","38","14.24",
"4133","亞諾法","25,691","23","767,974","29.80","30.05","29.75","30.05","+","0.10","30.00","1","30.05","2","41.16",
"4137","麗豐-KY","759,160","714","182,808,640","238.00","244.00","238.00","242.50","+","4.50","241.50","1","242.50","32","17.86",
"4141","龍燈-KY","82,141","49","1,531,893","18.70","18.75","18.55","18.60","-","0.05","18.60","9","18.70","2","33.82",
"4142","國光生","6,558,242","3,111","151,638,785","22.90","23.95","22.40","23.10","+","1.10","23.10","32","23.15","10","0.00",
"4144","康聯-KY","90,596","77","2,496,039","27.35","27.65","27.35","27.60","+","0.25","27.50","5","27.60","15","13.40",
"4148","全宇生技-KY","589,010","413","41,375,802","70.00","71.40","69.20","69.50","+","0.50","69.50","10","69.80","1","12.99",
"4155","訊映","50,360","36","1,283,010","25.45","25.70","25.40","25.45","-","0.05","25.45","4","25.50","3","12.92",
"4164","承業醫","228,333","181","7,741,938","32.90","34.25","32.90","34.10","+","1.30","34.05","3","34.10","2","126.30",
"4190","佐登-KY","1,924,492","1,575","183,657,240","96.00","97.80","93.00","94.50"," ","0.00","94.30","1","94.50","5","13.62",
"4306","炎洲","344,009","189","4,541,417","13.10","13.25","13.10","13.15","+","0.05","13.15","101","13.20","5","9.01",
"4414","如興","15,224,000","633","208,059,450","13.75","13.95","13.65","13.65","-","0.05","13.60","449","13.65","118","0.00",
"4426","利勤","1,198,480","880","54,084,699","45.15","45.95","44.35","44.90","+","0.20","44.90","50","45.15","9","23.88",
"4438","廣越","125,000","108","13,024,000","104.50","105.00","103.50","104.50","+","1.00","104.00","1","104.50","1","15.04",
"4526","東台","232,686","151","4,233,316","17.90","18.45","17.90","18.10","+","0.40","18.10","17","18.20","6","50.28",
"4532","瑞智","451,762","284","10,729,582","23.85","23.90","23.65","23.70","-","0.15","23.70","74","23.80","3","10.58",
"4536","拓凱","61,004","44","5,387,757","88.30","88.80","88.10","88.20","-","0.10","88.20","4","88.90","3","11.18",
"4540","全球傳動","323,195","257","22,544,628","69.40","70.40","69.30","70.00","+","0.70","69.90","3","70.00","8","12.46",
"4545","銘鈺","55,000","46","1,368,200","25.25","25.25","24.70","25.10","+","0.15","24.70","2","25.25","1","0.00",
"4551","智伸科","634,348","439","67,516,561","106.50","108.50","103.50","107.50","+","1.00","107.50","12","108.00","3","17.06",
"4552","力達-KY","321,000","253","18,826,700","58.40","59.40","58.20","58.30","-","0.30","58.30","3","58.50","2","6.65",
"4555","氣立","9,000","8","524,300","58.00","58.80","57.50","57.50","-","0.50","57.50","1","58.30","1","22.46",
"4557","永新-KY","31,001","32","1,926,062","62.00","62.30","61.10","62.10","-","0.20","62.10","2","62.40","2","14.31",
"4560","強信-KY","149,000","99","7,161,150","48.05","48.60","47.70","48.20","+","0.25","48.20","3","48.25","2","10.48",
"4562","穎漢","10,000","9","365,450","36.60","36.65","36.50","36.50"," ","0.00","36.30","1","36.50","9","14.66",
"4566","時碩工業","69,246","62","3,037,983","45.30","45.50","43.10","43.90","-","1.15","43.90","1","44.10","1","12.40",
"4720","德淵","51,549","20","675,591","13.10","13.20","13.00","13.20","+","0.05","13.00","6","13.20","10","57.39",
"4722","國精化","14,101","13","388,691","27.50","27.60","27.45","27.45","-","0.05","27.45","1","27.55","1","10.02",
"4725","信昌化","1,666,050","972","44,173,765","26.95","27.00","26.10","26.35","-","0.25","26.35","5","26.40","6","21.78",
"4737","華廣","4,480","7","215,743","48.20","48.30","48.10","48.10","+","0.10","48.05","2","48.30","2","24.29",
"4739","康普","915,515","711","83,982,680","91.30","92.50","91.20","91.80","+","0.50","91.80","6","91.90","14","16.16",
"4746","台耀","155,000","111","5,943,000","38.00","38.70","38.00","38.10","+","0.10","38.10","1","38.40","1","36.63",
"4755","三福化","52,050","38","2,118,030","40.10","41.00","40.05","40.40","+","0.40","40.30","1","40.55","2","9.60",
"4763","材料-KY","115,000","44","14,059,500","123.00","123.50","121.50","123.00"," ","0.00","122.50","2","123.00","6","25.10",
"4764","雙鍵","226,000","181","18,420,200","79.50","82.50","79.50","81.00","+","1.60","81.00","1","81.30","1","11.76",
"4766","南寶","2,234,254","1,689","247,691,448","113.00","114.50","105.50","112.00","-","0.50","111.50","4","112.00","16","15.20",
"4807","日成-KY","76,025","78","4,359,437","56.00","58.00","56.00","57.60","+","1.70","57.50","2","57.80","3","10.36",
"4904","遠傳","15,296,401","2,936","1,115,669,169","73.40","74.60","72.50","72.50","-","0.60","72.50","478","72.60","338","23.62",
"4906","正文","1,940,341","1,021","41,921,248","21.70","21.90","21.40","21.60","+","0.15","21.60","3","21.65","41","0.00",
"4912","聯德控股-KY","1,022,416","794","173,799,927","168.50","172.00","168.50","169.00","-","4.00","169.00","13","169.50","4","23.28",
"4915","致伸","6,537,748","3,346","299,555,031","44.05","46.60","44.00","46.00","+","1.55","46.00","365","46.05","1","10.75",
"4916","事欣科","163,917","115","5,001,597","30.55","30.70","30.35","30.70","+","0.35","30.50","11","30.70","3","11.90",
"4919","新唐","4,779,561","3,031","229,923,658","49.00","49.00","47.30","48.45","-","0.75","48.40","1","48.45","36","14.38",
"4927","泰鼎-KY","6,494,840","2,815","231,441,628","35.10","36.10","35.10","35.50","+","0.60","35.50","80","35.55","2","9.97",
"4930","燦星網","33,400","26","370,459","11.05","11.25","11.05","11.05"," ","0.00","11.05","2","11.20","1","0.00",
"4934","太極","832,130","300","4,935,565","5.93","6.02","5.86","5.88","-","0.02","5.88","72","5.90","8","0.00",
"4935","茂林-KY","124,050","49","4,296,630","34.80","34.80","34.40","34.60","-","0.10","34.50","3","34.65","1","26.62",
"4938","和碩","7,639,320","3,011","402,648,193","52.50","53.50","52.00","52.30","-","0.10","52.30","157","52.50","1","11.81",
"4942","嘉彰","1,270,500","881","48,135,650","38.75","38.80","37.30","37.50","-","0.50","37.50","20","37.55","4","9.15",
"4943","康控-KY","6,480,577","4,891","1,020,652,512","160.50","161.50","154.00","155.00","-","6.50","154.50","56","155.00","11","14.79",
"4952","凌通","269,135","197","8,699,032","31.95","32.65","31.90","32.50","+","0.90","32.45","2","32.50","2","11.40",
"4956","光鋐","441,001","223","6,953,465","15.50","16.05","15.40","15.75","+","0.30","15.75","4","15.80","11","68.48",
"4958","臻鼎-KY","9,002,796","4,429","709,799,543","79.10","79.80","77.80","78.30","-","0.90","78.30","41","78.50","12","8.07",
"4960","誠美材","4,793,258","916","48,413,189","10.10","10.20","9.99","10.10","+","0.05","10.05","288","10.10","34","0.00",
"4961","天鈺","1,398,100","874","54,705,110","39.35","39.65","38.50","39.35","+","0.15","39.10","1","39.35","27","21.50",
"4968","立積","3,868,751","2,497","197,186,368","48.55","52.50","48.55","52.50","+","4.70","52.50","2,237","--","0","16.15",
"4976","佳凌","7,469,748","4,472","253,613,703","32.20","35.05","32.20","34.15","+","2.00","34.15","30","34.20","18","75.89",
"4977","眾達-KY","823,215","602","59,108,165","73.90","73.90","70.30","70.50","-","3.50","70.40","5","70.50","77","12.41",
"4989","榮科","346,013","234","7,286,203","21.20","21.25","20.85","21.00","-","0.25","21.00","8","21.10","1","9.38",
"4994","傳奇","44,340","35","2,004,584","46.00","46.00","44.85","45.10","+","1.10","45.00","3","45.65","3","0.00",
"4999","鑫禾","191,004","111","9,033,704","47.10","47.55","46.95","47.10","+","0.10","47.10","2","47.15","1","7.35",
"5007","三星","59,090","31","3,013,344","51.00","51.10","50.70","51.10","+","0.40","50.80","1","51.20","5","13.17",
"5203","訊連","51,200","48","3,498,039","68.90","68.90","68.00","68.50","+","0.50","68.50","2","68.70","1","18.17",
"5215","科嘉-KY","38,000","31","1,034,150","27.20","27.40","27.05","27.30","+","0.30","27.20","4","27.30","1","8.37",
"5225","東科-KY","133,000","91","3,606,300","26.55","27.55","26.55","27.45","+","0.65","27.25","1","27.45","4","7.28",
"5234","達興材料","112,870","82","8,098,852","71.70","72.10","71.50","71.80","+","0.20","71.80","8","71.90","2","12.09",
"5243","乙盛-KY","426,000","236","12,869,950","30.15","30.45","30.05","30.20","+","0.05","30.20","6","30.25","6","14.73",
"5258","虹堡","248,000","141","3,610,500","14.90","14.90","14.30","14.35","-","0.45","14.30","3","14.35","1","59.79",
"5259","清惠","2,000","2","16,320","8.16","8.16","8.16","8.16","X","0.00","8.14","1","8.19","1","0.00",
"5264","鎧勝-KY","3,513,563","2,361","149,782,359","42.00","43.30","41.60","43.20","+","1.00","43.10","3","43.20","23","0.00",
